Template,Example URL,Block Name,Position on Page,Visual Description
Homepage,https://www.revlon.com/,Hero,Top of page (below header),Full-width image of Teyana Taylor with headline text overlay and LEARN MORE CTA button on right side
Homepage,https://www.revlon.com/,Product Carousel (Best Sellers),Below hero,Horizontal row of 5 product cards with images / names / prices / star ratings / badges. Heading reads "Best Sellers" with subtext
Homepage,https://www.revlon.com/,CTA Banner,Below Best Sellers carousel,Full-width video/image banner with "SPRING LIP FLING" text overlay and SHOP NOW button
Homepage,https://www.revlon.com/,Product Carousel (New Arrivals),Below CTA Banner,Same format as Best Sellers — 5 product cards in a row. Heading reads "New Arrivals" with SHOP ALL link
Homepage,https://www.revlon.com/,Category Tiles,Below New Arrivals,Grid of 8 image tiles labeled New / Best Sellers / Hair / Lips / Eyes / Face / Nails / Tools
Homepage,https://www.revlon.com/,Email Signup,Below Category Tiles (dark background section),"Be Unforgettable" heading with email input field and submit arrow button
Product Detail,https://www.revlon.com/products/super-lustrous-lipstick-with-moisturizing-formula,Product Gallery,Top left of main content,Large product image with zoom button. Additional thumbnail images below showing shade swatches and lifestyle shots
Product Detail,https://www.revlon.com/products/super-lustrous-lipstick-with-moisturizing-formula,Product Info,Top right of main content (beside gallery),Product title "Super Lustrous Lipstick" / star rating (4.5) / price $10.99 / tagline "Super vibrant. Super lush. Super creamy."
Product Detail,https://www.revlon.com/products/super-lustrous-lipstick-with-moisturizing-formula,Shade Selector,Below product info (right column),Grid of 45 color swatch circles. Label shows selected shade name and number (e.g. Uncut Ruby 810)
Product Detail,https://www.revlon.com/products/super-lustrous-lipstick-with-moisturizing-formula,Virtual Try-On,Below shade selector,"Try It Now" button with camera icon for AR virtual try-on
Product Detail,https://www.revlon.com/products/super-lustrous-lipstick-with-moisturizing-formula,Add to Cart,Below shade selector (within retailer widget),Retailer buy buttons showing Amazon ($6.87) / CVS ($8.99) / Walmart ($6.87) with retailer logos
Product Detail,https://www.revlon.com/products/super-lustrous-lipstick-with-moisturizing-formula,Product Tabs (Description),First section below product area,"DESCRIPTION" heading with paragraph text and product lifestyle image beside it
Product Detail,https://www.revlon.com/products/super-lustrous-lipstick-with-moisturizing-formula,Product Tabs (Details),Below Description section,"DETAILS" heading with 4 bullet points about benefits (conditioning / pigments / fuller lips / 72 shades) and image
Product Detail,https://www.revlon.com/products/super-lustrous-lipstick-with-moisturizing-formula,Product Tabs (How to Use),Below Details section,"HOW TO USE IT" heading with numbered steps and PRO TIP paragraph plus lifestyle image
Product Detail,https://www.revlon.com/products/super-lustrous-lipstick-with-moisturizing-formula,Product Tabs (Ingredients),Below How to Use,"Ingredients" heading with full ingredient text list and Show More button
Product Detail,https://www.revlon.com/products/super-lustrous-lipstick-with-moisturizing-formula,Product Card List (Related),Below Ingredients,"More to Love" heading with horizontal row of 6 product recommendation cards (image / name / shades / price)
Product Detail,https://www.revlon.com/products/super-lustrous-lipstick-with-moisturizing-formula,Customer Reviews,Below Related Products,"Reviews & Q&A" section with star ratings / review cards with photos / pagination
Product Collection,https://www.revlon.com/collections/lipstick,Hero (Category),Top of page,Banner image of lipstick with "Lipstick" heading and description paragraph about formulas and shades
Product Collection,https://www.revlon.com/collections/lipstick,Filter Sidebar,Left side or top filter bar,"Filter" button with Sort By dropdown (Name / Top Rated / Top Seller / Price). Shows "7 products" count
Product Collection,https://www.revlon.com/collections/lipstick,Product Card List (Grid),Main content area below hero,Grid of 7 product cards in 3-4 column layout. Each card shows image / badges / product name / shade count / price / star rating / shade swatch row
Product Collection,https://www.revlon.com/collections/lipstick,FAQ Accordion,Below product grid,"LIPSTICK FREQUENTLY ASKED QUESTIONS" heading with 6 expandable question rows (chevron toggle)
Product Collection,https://www.revlon.com/collections/lipstick,Email Signup,Below FAQ (dark background section),"Be Unforgettable" heading with email input and submit button
Product Line Landing,https://lottabody.com/coconut-and-shea-oils/,Hero (Product Line),Top of page,Blue gradient banner with "Coconut & Shea Oils" text and model image with product line photo below
Product Line Landing,https://lottabody.com/coconut-and-shea-oils/,Product Card List (Card Grid),Main content area (below hero),Two-column grid of 7 product cards. Each shows product image / product name ("Love Me") / subtitle ("5-n-1 Leave-In Treatment") / Learn More button
Landing/Promo,https://www.revlon.com/pages/megan-moroney-x-revlon,Campaign Hero,Top of page,Full-width image of Megan Moroney. Text overlay with campaign quote about beauty and confidence
Landing/Promo,https://www.revlon.com/pages/megan-moroney-x-revlon,Pull Quote,Below hero image,Italic quote text on white background: "This campaign represents a truth I believe in..." with descriptive paragraphs below
Landing/Promo,https://www.revlon.com/pages/megan-moroney-x-revlon,Product Card List (Featured),Mid-page (red background section),"MEGAN'S SET LIST" heading on red background with product cards below showing product images / shade names / descriptions. Then standard product grid with 4 cards (image / name / shades / price)
Landing/Promo,https://www.revlon.com/pages/megan-moroney-x-revlon,Pull Quote (Behind the Scenes),Below products (red background section),"GO BEHIND THE SCENES" heading with two italic quotes from Megan about the filming experience
Landing/Promo,https://www.revlon.com/pages/megan-moroney-x-revlon,Email Signup,Bottom of page (before footer),"Be Unforgettable" heading with email input field and checkbox for consent
