Template,Block Name,Block Description,Custom Block Required
Homepage,Hero,Full-width hero banner/carousel with background image and optional video,Yes
Homepage,Product Line Cards,Grid or row of product line/collection cards linking to sub-brands,Yes
Homepage,CTA Banner,Promotional banner with image and call-to-action link,Yes
Homepage,Newsletter Signup,Email subscription form with incentive messaging,Yes
Homepage,Video Embed,Embedded YouTube video player for brand content,Yes
Product Detail,Product Image,Large product hero image,Yes
Product Detail,Product Info,Product title with description and key benefits/features,Yes
Product Detail,Product Tabs,Tabbed or sectioned content for Details / Ingredients / How to Use,Yes
Product Detail,Customer Reviews,Star rating display and review submission form,Yes
Product Detail,Store Finder CTA,Button linking to store locator or retailer page,No
Product Collection,Category Header,Page title with optional description and breadcrumb navigation,No
Product Collection,Product Grid,Grid of product cards with image and name linking to detail pages,Yes
Product Line Landing,Line Hero,Hero banner introducing the product line with collection image,Yes
Product Line Landing,Product Card Grid,Grid of product cards with image / name / subtitle / Learn More link,Yes
Blog Listing,Blog Header,Section title or category heading for the article listing,No
Blog Listing,Article Card Grid,Grid of article preview cards with thumbnail / title / excerpt / link,Yes
Blog Article,Article Hero,Hero section with product line image and title,Yes
Blog Article,Article Body,Carousel or sequential content blocks with product info and images,No
Blog Article,Product Education Cards,Individual product info cards with image / benefits / usage / ingredients,Yes
Legal/Policy,Text Content,Long-form text content with headings and paragraphs,No
Legal/Policy,Privacy Form,Data subject access request form,Yes
Contact,Contact Form,Form with name / email / subject / message fields,Yes
About,Brand Story,Rich content with brand narrative / history / values / certifications,No
About,Certifications Block,Cruelty-free and ingredient exclusion claims with list,Yes
Gallery,Image Gallery,Interactive image grid with clickable thumbnails and lightbox,Yes
Gallery,Gallery CTA,Call-to-action text prompting user interaction with gallery,No
Where to Buy,Retailer Grid,Grid of retailer logos with purchase links organized by priority tier,Yes
Where to Buy,Availability Note,Text noting additional distribution beyond listed retailers,No
Retailer Detail,Retailer Info,Retailer name and logo with partnership context,Yes
Retailer Detail,Product List,List of available products at this specific retailer,Yes
Landing/Promo,Promo Hero,Full-width promotional hero image or campaign banner,Yes
Landing/Promo,Promo Content,Rich text promotional content with optional product features,Yes
Monthly Specials,Specials Header,Month title heading,No
Monthly Specials,Promo Content,Promotional content with featured products and offer details,Yes
Product Tag/Filter,Tag Header,Page heading showing active tag filter name,No
Product Tag/Filter,Product Grid,Grid of products matching the tag with image and name,Yes
