Shared Block Name,Variant,Used On Templates,Field Name,Field Type,Required,Description
Hero,Default,Homepage,Background Image (Desktop),Image,Yes,Full-width hero background image for desktop viewport
Hero,Default,Homepage,Background Image (Mobile),Image,No,Alternate hero image optimized for mobile viewport
Hero,Default,Homepage,Headline,Text,Yes,Primary hero headline text
Hero,Default,Homepage,Subheadline,Text,No,Supporting tagline or secondary message
Hero,Default,Homepage,CTA Label,Text,No,Call-to-action button text
Hero,Default,Homepage,CTA Link,Link,No,URL destination for the CTA button
Hero,Default,Homepage,Video URL,Link,No,Optional embedded video URL (YouTube/Vimeo)
Hero,Category,Product Collection,Banner Image (Desktop),Image,No,Hero banner image for the collection page
Hero,Category,Product Collection,Banner Image (Mobile),Image,No,Mobile-optimized banner image
Hero,Category,Product Collection,Title,Text,Yes,Collection page title
Hero,Category,Product Collection,Description,Rich Text,No,Introductory text describing the collection
Hero,Product Line,Product Line Landing,Banner Image (Desktop),Image,Yes,Hero banner introducing the product line
Hero,Product Line,Product Line Landing,Banner Image (Mobile),Image,No,Mobile-optimized hero banner
Hero,Product Line,Product Line Landing,Line Name,Text,Yes,Product line name (e.g. Coconut & Shea Oils)
Hero,Product Line,Product Line Landing,Tagline,Text,No,Product line tagline or positioning statement
Hero,Campaign,"Landing/Promo, Retailer Detail",Hero Image (Desktop),Image,Yes,Full-width campaign hero image
Hero,Campaign,"Landing/Promo, Retailer Detail",Hero Image (Mobile),Image,No,Mobile-optimized hero image
Hero,Campaign,"Landing/Promo, Retailer Detail",Headline,Text,No,Campaign headline overlay
Hero,Campaign,"Landing/Promo, Retailer Detail",Subheadline,Text,No,Supporting tagline text
Hero,Campaign,"Landing/Promo, Retailer Detail",CTA Label,Text,No,Optional CTA button text
Hero,Campaign,"Landing/Promo, Retailer Detail",CTA Link,Link,No,CTA destination URL
Hero,Blog,"Blog Listing, Blog Article",Featured Image,Image,Yes,Main hero/header image
Hero,Blog,"Blog Listing, Blog Article",Title,Text,Yes,Article or section headline
Hero,Blog,"Blog Listing, Blog Article",Publication Date,Date,No,Article publish date
Hero,Blog,"Blog Listing, Blog Article",Author,Text,No,Author name
Product Card List,Carousel,Homepage,Section Title,Text,Yes,Carousel heading (e.g. Best Sellers or New Arrivals)
Product Card List,Carousel,Homepage,Product Image,Image,Yes,Product thumbnail image (repeatable)
Product Card List,Carousel,Homepage,Product Name,Text,Yes,Display name for the product card
Product Card List,Carousel,Homepage,Product Link,Link,Yes,URL to product page
Product Card List,Carousel,Homepage,Price,Text,No,Product price display
Product Card List,Carousel,Homepage,Badge,Text,No,Badge label (Best Seller / New / Sale / Viral)
Product Card List,Carousel,Homepage,Shade Count,Text,No,Number of available shades
Product Card List,Grid,"Product Collection, Product Tag/Filter",Product Image,Image,Yes,Product thumbnail image (repeatable)
Product Card List,Grid,"Product Collection, Product Tag/Filter",Product Name,Text,Yes,Product display name
Product Card List,Grid,"Product Collection, Product Tag/Filter",Product Link,Link,Yes,URL to product detail page
Product Card List,Grid,"Product Collection, Product Tag/Filter",Price,Text,No,Product price
Product Card List,Grid,"Product Collection, Product Tag/Filter",Shade Count,Text,No,Number of available shades
Product Card List,Grid,"Product Collection, Product Tag/Filter",Badge,Text,No,Product badge label
Product Card List,Card Grid,Product Line Landing,Product Image,Image,Yes,Product image for each card (repeatable)
Product Card List,Card Grid,Product Line Landing,Product Name,Text,Yes,Product name
Product Card List,Card Grid,Product Line Landing,Short Description,Text,No,Benefit-focused description text
Product Card List,Card Grid,Product Line Landing,CTA Label,Text,Yes,Link text (e.g. Learn More)
Product Card List,Card Grid,Product Line Landing,CTA Link,Link,Yes,URL to product detail page
Product Card List,Featured,"Landing/Promo, Retailer Detail",Section Title,Text,Yes,Section heading (e.g. Megan's Set List)
Product Card List,Featured,"Landing/Promo, Retailer Detail",Product Image,Image,Yes,Product image (repeatable)
Product Card List,Featured,"Landing/Promo, Retailer Detail",Product Name,Text,Yes,Product display name
Product Card List,Featured,"Landing/Promo, Retailer Detail",Product Link,Link,Yes,URL to product page
Product Card List,Featured,"Landing/Promo, Retailer Detail",Product Description,Text,No,Short description or shade info
Product Card List,Featured,"Landing/Promo, Retailer Detail",Price,Text,No,Product price
Product Card List,Featured,"Landing/Promo, Retailer Detail",Badge,Text,No,Product badge (New / Sale)
Product Card List,Related,Product Detail,Section Title,Text,No,Heading text (e.g. You May Also Like)
Product Card List,Related,Product Detail,Product Image,Image,Yes,Thumbnail for each related product (repeatable)
Product Card List,Related,Product Detail,Product Name,Text,Yes,Name for each related product card
Product Card List,Related,Product Detail,Product Link,Link,Yes,Link to related product
Product Card List,Related,Product Detail,Price,Text,No,Price for each related product
Product Card List,Related,"Blog Article",Section Title,Text,No,Heading (e.g. You May Also Like)
Product Card List,Related,"Blog Article",Related Article Image,Image,Yes,Thumbnail for each related article (repeatable)
Product Card List,Related,"Blog Article",Related Article Title,Text,Yes,Title of related article
Product Card List,Related,"Blog Article",Related Article Link,Link,Yes,URL to the related article
FAQ Accordion,Default,"Product Collection, FAQ",Question,Text,Yes,FAQ question text (repeatable)
FAQ Accordion,Default,"Product Collection, FAQ",Answer,Rich Text,Yes,FAQ answer content (supports links and formatting)
FAQ Accordion,Default,"Product Collection, FAQ",Category/Section Label,Text,No,Optional grouping label for FAQ sections
Email Signup,Default,"Homepage, Landing/Promo",Heading,Text,Yes,Section heading (e.g. Join Our Mailing List)
Email Signup,Default,"Homepage, Landing/Promo",Description,Text,No,Incentive or supporting text for signup
Email Signup,Default,"Homepage, Landing/Promo",Button Label,Text,Yes,Submit button text
Email Signup,Default,"Homepage, Landing/Promo",Legal Disclaimer,Text,No,Terms and conditions text
